industry_hash_id	code_source	code_	description_	version_	start_date	end_date	created_by	create_date	modified_by	modified_date
2648198c434e19d5833b4ce50fe0b3bb	NASIC	711310	Promoters of Performing Arts, Sports, and Similar Events with Facilities 	current	2024-12-19		kds_adm	2024-12-19		
814a0baad72f0571551aff6ce52e881f	NASIC	711219	Other Spectator Sports 	current	2024-12-19		kds_adm	2024-12-19		
8fac21235cca21b68f1f9ba9fb759ecd	NASIC	711212	Racetracks 	current	2024-12-19		kds_adm	2024-12-19		
3bbc2a4f8d74587313c281f19083ec52	NASIC	711211	Sports Teams and Clubs 	current	2024-12-19		kds_adm	2024-12-19		
654fb1ed0f3692568ee0a7823f466ab8	NASIC	711190	Other Performing Arts Companies 	current	2024-12-19		kds_adm	2024-12-19		
741be60a59f00c5e665188105cc0a9d6	NASIC	711130	Musical Groups and Artists 	current	2024-12-19		kds_adm	2024-12-19		
f1d9a3f00ad90579253f945cf5123d1b	NASIC	711120	Dance Companies 	current	2024-12-19		kds_adm	2024-12-19		
bc0987a030ece41a30ce769adc3f5975	NASIC	711110	Theater Companies and Dinner Theaters 	current	2024-12-19		kds_adm	2024-12-19		
686231fe2e014d04a53ceae20d9bbd91	NASIC	624410	Child Care Services 	current	2024-12-19		kds_adm	2024-12-19		
802b6cb420692c716928b7bd938ed5e7	NASIC	624310	Vocational Rehabilitation Services 	current	2024-12-19		kds_adm	2024-12-19		
5d59299a7371e80f404b7d280c8a1e7b	NASIC	624230	Emergency and Other Relief Services 	current	2024-12-19		kds_adm	2024-12-19		
bc437db71813094c852df8ba2e50dc6b	NASIC	624229	Other Community Housing Services 	current	2024-12-19		kds_adm	2024-12-19		
90eef1b0e0b9b6bedb923be2c283c04c	NASIC	624221	Temporary Shelters 	current	2024-12-19		kds_adm	2024-12-19		
6a95672b8a21d5c923ae883e9c167afa	NASIC	624210	Community Food Services 	current	2024-12-19		kds_adm	2024-12-19		
b3089cc3148019f794dd5f3ec8f786fd	NASIC	624190	Other Individual and Family Services 	current	2024-12-19		kds_adm	2024-12-19		
7c4cd058a62e8a5cd9ea40b303972905	NASIC	624120	Services for the Elderly and Persons with Disabilities 	current	2024-12-19		kds_adm	2024-12-19		
65d4640a1d95416c9bafffbe46eee8aa	NASIC	624110	Child and Youth Services 	current	2024-12-19		kds_adm	2024-12-19		
22c35148396331c43a5324493c24598f	NASIC	623990	Other Residential Care Facilities 	current	2024-12-19		kds_adm	2024-12-19		
8610c86a29b9a44aa8f69e210ce38d6b	NASIC	623312	Assisted Living Facilities for the Elderly 	current	2024-12-19		kds_adm	2024-12-19		
a06df3b5989dfcfa6cac77d0640572e7	NASIC	623311	Continuing Care Retirement Communities 	current	2024-12-19		kds_adm	2024-12-19		
377fbb61a7bbb83ee4bb937e162db2a8	NASIC	623220	Residential Mental Health and Substance Abuse Facilities 	current	2024-12-19		kds_adm	2024-12-19		
d31b389478c381fd164e559120f5a607	NASIC	623210	Residential Intellectual and Developmental Disability Facilities 	current	2024-12-19		kds_adm	2024-12-19		
82e5b000503fd9b09f4b9aeaf2996b58	NASIC	623110	Nursing Care Facilities (Skilled Nursing Facilities) 	current	2024-12-19		kds_adm	2024-12-19		
b9abac085be0d1615a1a4163d44462a0	NASIC	622310	Specialty (except Psychiatric and Substance Abuse) Hospitals 	current	2024-12-19		kds_adm	2024-12-19		
5f38318eaa7334797939242184bb8c63	NASIC	622210	Psychiatric and Substance Abuse Hospitals 	current	2024-12-19		kds_adm	2024-12-19		
0a822bb21731323cf586ea5603c97f95	NASIC	622110	General Medical and Surgical Hospitals 	current	2024-12-19		kds_adm	2024-12-19		
ea9435d2607af9b1577ca7e088e7f5b9	NASIC	621999	All Other Miscellaneous Ambulatory Health Care Services 	current	2024-12-19		kds_adm	2024-12-19		
1396bec34419216ab5510250c441868e	NASIC	621991	Blood and Organ Banks 	current	2024-12-19		kds_adm	2024-12-19		
f18580d6007d43e3ecb6aa4c4777cf6c	NASIC	621910	Ambulance Services 	current	2024-12-19		kds_adm	2024-12-19		
f70432fed3c84edf89cc954c8561cf6c	NASIC	621610	Home Health Care Services	current	2024-12-19		kds_adm	2024-12-19		
0ad57a9ddcc377f66e807c6e8ccafc59	NASIC	621512	Diagnostic Imaging Centers 	current	2024-12-19		kds_adm	2024-12-19		
cb2f6605a8f3bc73f4046ef3a41cdcfe	NASIC	621511	Medical Laboratories 	current	2024-12-19		kds_adm	2024-12-19		
847f6b0355b469637d5e2caa259c6e1f	NASIC	621498	All Other Outpatient Care Centers 	current	2024-12-19		kds_adm	2024-12-19		
3d70d3993e01a83d3bcfd10d958ccc9a	NASIC	621493	Freestanding Ambulatory Surgical and Emergency Centers 	current	2024-12-19		kds_adm	2024-12-19		
b95ecf3a00bfeb34bcd09c5ce8b8722a	NASIC	621492	Kidney Dialysis Centers 	current	2024-12-19		kds_adm	2024-12-19		
045dc7a03c0db1360d01f62e1b399707	NASIC	621491	HMO Medical Centers 	current	2024-12-19		kds_adm	2024-12-19		
0c9f641380040f9ff4c9cf6de9a30836	NASIC	621420	Outpatient Mental Health and Substance Abuse Centers 	current	2024-12-19		kds_adm	2024-12-19		
823e2566d785dd6139b58dacdd0e76dc	NASIC	621410	Family Planning Centers 	current	2024-12-19		kds_adm	2024-12-19		
76bba144cb2ae60a279faafc5ab84825	NASIC	621399	Offices of All Other Miscellaneous Health Practitioners 	current	2024-12-19		kds_adm	2024-12-19		
b822507d2941e1e83632742589565485	NASIC	621391	Offices of Podiatrists 	current	2024-12-19		kds_adm	2024-12-19		
0b00b747be4cfb54738ea4836ae8c09f	NASIC	621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists 	current	2024-12-19		kds_adm	2024-12-19		
8fcf2e1bf7f2c0b33809564c08a85a47	NASIC	621330	Offices of Mental Health Practitioners (except Physicians) 	current	2024-12-19		kds_adm	2024-12-19		
